Race #,Season,Week,Date,Car,Series,Track,Qualified,Race finish,Win,Podium,Race SOF,Chmpship pts,Division,Inc,Laps,Avg lap time,Fastest Lap time,SR change,iR change,SR post race,iR post race,Protestee,Protest upheld,Note
104,2021 S4,W05,2021-10-17,SRF,,Oulton Park - Intl w/o chicanes,13,14,0,0,2490,41,4,7,15,1.42.710,1.39.904,-0.54000000000000004,-19,2.5300000000000002,1839,Bob Kern,,Race pace but got pushed out last turn by Bob Kern. Was P10 75pts until last turn. Could've defended harder but went back to the line and Bob was at the apex
105,2021 S4,W06,2021-10-20,911GT3Cup992,,Twin Ring Motegi - GP,19,16,0,0,2801,28,4,0,15,1.58.326,1.55.837,0.23000000000000001,-30,2.7600000000000002,1809,,,"Race pace, hadn't practiced,"
106,2021 S4,W06,2021-10-21,SRF,,Mosport,12,14,0,0,2303,9,4,6,14,1.34.758,1.32.225,-0.19,-60,2.5900000000000003,1749,Marcus Burkitt!,No,"Lap 1 last lap incident, net code, pit and repairs. Then self off-track and repairs later."
107,2021 S4,W06,2021-10-23,SRF,,Mosport,8,4,0,0,1827,81,4,0,17,1.32.417,1.31.256,0.14999999999999999,49,2.8100000000000001,1798,,,Lap 1 incident cleared out many good drivers. Then consistent laps til the end.
108,2021 S4,W07,2021-10-27,SRF,,Nordschleife,,7,0,0,1842,70,4,4,3,8.12.863,8.06.776,-4.0000000000000001e-02,25,2.77,1823,,,Race pace. Three drivers behind me were faster but they crashed out and couldn't reel in the gap
109,2021 S4,W07,2021-10-28,SRF,,Nordschleife,,6,0,0,1564,67,4,4,3,8.07.559,8.07.566,-1.e-02,28,2.7600000000000002,1851,,,Race pace. 
110,2021 S4,W07,2021-10-28,F3.5,,Hockenheim - GP,8,8,0,0,2196,37,4,7,26,1.28.636,1.27.158,2.9999999999999999e-02,-22,2.79,1829,,,Race pace. Finished where I should've
111,2021 S4,W07,2021-10-30,F3.5,,Hockenheim - GP,13,10,0,0,2825,50,4,2,25,1.28.899,1.27.344,0.73999999999999999,-2,3.5300000000000002,1827,,,Race pace. No inc that slowed me down
112,2021 S4,W07,2021-10-31,F3.5,,Hockenheim - GP,12,10,0,0,1665,59,4,8,25,1.29.502,1.25.801,-8.0000000000000002e-02,7,3.4500000000000002,1834,,,"Race pace, had incidents and repair. Potential for P6 if clean race."
113,2021 S4,W07,2021-11-01,F3.5,,Hockenheim - GP,10,13,0,0,1715,26,4,7,25,1.30.294,1.25.799,-4.0000000000000001e-02,-50,3.4100000000000001,1784,,,Race pace but got rearended and needed repairs. Had potential for P6
114,2021 S4,W07,2021-11-02,F3.5,,Hockenheim - GP,3,2,0,1,1477,80,4,8,26,1.28.066,1.26.796,-4.0000000000000001e-02,63,3.3700000000000001,1847,,,Race pace but shot tyres and lost focus towards the end. Was leading and let the position go ot L22 by taking the longer route towards spitskehre. Oh well.
115,2021 S4,W08,2021-11-04,SRF,,Summit Point - Raceway,5,9,0,0,1991,39,4,5,18,1.21.568,1.20.197,-8.0000000000000002e-02,-24,3.29,1823,Gabor Szabo iR2035,,Race pace and P6 potential for 68pts but Gabor Szabo didn't hold brakes
116,2021 S4,W08,2021-11-05,SRF,,Summit Point - Raceway,8,6,0,0,2067,75,4,4,19,1.21.566,1.20.163,-2.e-02,31,3.27,1854,,,Race pace
117,2021 S4,W08,2021-11-06,F3.5,,Sebring,7,4,0,0,1707,78,4,1,21,1.49.666,1.48.178,0.17999999999999999,44,3.4500000000000002,1898,,,Incident free race pace
118,2021 S4,W09,2021-11-10,F3.5,,Red Bull Ring,7,7,0,0,1864,35,4,6,28,1.20.953,1.19.752,-5.9999999999999998e-02,-30,3.3900000000000001,1868,,,Race pace with few off tracks.
119,2021 S4,W09,2021-11-14,SRF,,Zandvoort,11,12,0,0,1913,45,4,8,13,1.53.765,1.52.623,-0.20999999999999999,-17,3.2200000000000002,1851,Rafael Torres Castano ir1911,,Race pace. Contact and tow lap 1. Had pace for P6
120,2021 S4,W09,2021-11-14,F3.5,,Red Bull Ring,19,11,0,0,1932,62,4,12,27,1.21.383,1.19.671,-0.68999999999999995,8,2.5300000000000002,1859,,,Race pace. Too many off-tracks
121,2021 S4,W09,2021-11-15,SRF,,Zandvoort,2,1,1,1,1499,81,4,2,14,1.55.117,1.53.330,0.11,69,2.6400000000000001,1928,,,Race pace but not my fastest. One self spin lap 5 when in the lead. Pushed too hard.
122,2021 S4,W010,2021-11-19,SRF,,Interlagos,5,5,0,0,1852,43,4,2,14,1.52.545,1.50.773,0.13,-13,2.77,1915,,,Race pace but had 1s better practice laps
123,2021 S4,W010,2021-11-20,911GT3R,,Bathurst,36,11,0,0,1229,62,4,0,48,2.13.306,2.09.645,1.96,28,4.7300000000000004,1943,,,Race pace. Damaged car at second stint
124,2021 S4,W010,2021-11-20,SRF,,Interlagos,6,5,0,0,1464,47,4,0,14,1.52.067,1.50.137,0.12,-8,4.8500000000000005,1935,,,Race pace. Just haven't practised enough.
125,2021 S4,W011,2021-11-23,SRF,,Legacy Daytona International Speedway - 2008 Moto,5,4,0,0,1507,66,4,4,13,1.59.326,1.57.360,-0.17000000000000001,30,4.6800000000000006,1965,,,Race pace. One self spin.
126,2021 S4,W011,2021-11-25,SRF,,Legacy Daytona International Speedway - 2008 Moto,3,4,0,0,1471,63,4,1,13,1.58.704,1.56.953,2.9999999999999999e-02,23,4.7100000000000009,1988,,,Race pace.
127,2021 S4,W011,2021-11-28,SRF,,Legacy Daytona International Speedway - 2008 Moto,4,5,0,0,1564,76,4,6,13,1.58.000,1.56.003,-0.23999999999999999,39,4.4700000000000006,2027,,,Race pace. Penultimate lap incident cost me damage and potentially one position. Should've waited til last lap for overtake.
128,2021 S4,W012,2021-12-04,Ford GTE,,Sebring,19,19,0,0,2344,20,4,7,27,2.15.598,2.02.185,-0.13,-56,4.3400000000000007,1971,,,"Race pace, got damage from LMP1 on the inside"
129,2021 S4,W012,2021-12-04,Ford GTE,,Sebring,10,7,0,0,1784,48,4,7,49,2.04.763,2.00.794,0.10000000000000001,-7,4.4400000000000004,1964,,,Race pace. One 4x due to loss of concentration
130,2021 S4,W012,2021-12-04,SR8 Radical,,Nordschleife,,12,0,0,1992,51,4,1,5,6.58.995,6.56.062,0.12,-14,4.5600000000000005,1950,,,Race pace.
131,2022 S1,W01,2021-12-14,AMG W12,,Silverstone,22,14,0,0,2897,66,3,21,26,1.40.804,1.33.715,-1.0600000000000001,8,3.5000000000000004,1958,,,Way off pace for SOF
132,2022 S1,W01,2021-12-14,F3.5,,Hungaroring,7,4,0,0,1778,75,3,6,25,1.34.064,1.32.868,-2.9999999999999999e-02,35,3.4700000000000006,1993,,,Race pace
133,2022 S1,W01,2021-12-15,SRF,,Lime Rock Park - GP,5,3,0,1,1433,77,3,0,25,1.01.031,0.59.920,0.17000000000000001,50,3.6400000000000006,2043,,,"Race pace. Qualified well, avoided L1 incidents."
134,2022 S1,W01,2021-12-16,AMG W12,,Silverstone,21,19,0,0,3182,42,3,4,15,1.33.274,1.31.253,-1.e-02,-17,3.6300000000000008,2026,,,"Race pace. No contacts, some off tracks."
135,2022 S1,W01,2021-12-18,F3.5,,Hungaroring,8,4,0,0,1644,80,3,3,15,1.33.586,1.32.103,5.9999999999999998e-02,42,3.6900000000000008,2068,,,Race pace.
136,2022 S1,W01,2021-12-19,Mazda MX-5,,Nordschleife,,19,0,0,1906,36,3,1,4,8.40.725,8.37.546,0.16,-43,3.910000000000001,2025,,,"Race pace, but 20s off mid pack pace. Next time practice more before race."
137,2022 S1,W01,2021-12-19,SRF,,Lime Rock Park - GP,5,6,0,0,1934,70,3,3,25,1.00.849,0.59.681,-1.e-02,18,3.9000000000000012,2043,,,Race pace with inconsistencies. Got pushed out by Damien Cross who went in the middle lap 1. Thanks to him and netcode.
138,2022 S1,W01,2021-12-20,F3.5,,Hungaroring,18,14,0,0,2386,45,3,5,24,1.34.515,1.32.954,-5.9999999999999998e-02,-21,3.8400000000000012,2022,,,Not quite my race pace but incident free race with exciting finish with last corner overtake attempt that failed.
139,2022 S1,W01,2021-12-20,SRF,,Lime Rock Park - GP,8,5,0,0,1928,91,3,8,25,1.00.517,0.59.347,-0.31,49,3.5300000000000011,2071,,,"Race pace, got lucky avoiding incidents. Good battle with Jakub Orkisz and John A Sheehan"
140,2022 S1,W02,2021-12-21,SRF,,Spa - Classic,2,2,0,1,1137,58,3,5,9,2.46.561,2.45.261,-8.9999999999999997e-02,32,3.4400000000000013,2103,,,Race pace. Missed start had to chase everyone
141,2022 S1,W02,2021-12-21,SRF,,Spa - Classic,2,1,1,1,1345,83,3,1,9,2.46.040,2.44.416,0.11,64,3.5500000000000012,2167,,,Race pace. Good pressure from Bradley Fisher
142,2022 S1,W02,2021-12-22,F3.5,,Phillip Island,6,6,0,0,1604,62,3,0,28,1.19.526,1.18.162,0.26000000000000001,6,3.8100000000000014,2173,,,"Race pace. Good chase with P5, couldn't catch nor pressure him into mistake."
143,2022 S1,W02,2021-12-22,AMG W12,,Spa - GP,14,14,0,0,2844,40,3,1,11,1.49.407,1.46.878,0.10000000000000001,-27,3.8200000000000016,2146,,,"Race pace, albeit a bit inconsistent."
144,2022 S1,W02,2021-12-23,F3.5,,Phillip Island,2,6,0,0,1352,29,3,15,28,1.21.523,1.18.023,-0.5,-52,3.3400000000000016,2094,Rodrigo Toledo.,Didn't lodge,"Race pace. Has potential for P1, got taken out by over aggressive leader three corners after I passed him."
145,2022 S1,W02,2021-12-23,F3.5,,Phillip Island,3,3,0,1,1707,62,3,2,28,1.19.425,1.17.869,0.17000000000000001,15,3.5100000000000016,2109,,,Race pace.
146,2022 S1,W02,2021-12-24,F3.5,,Phillip Island,12,20,0,0,1843,0,3,4,0,,,-0.16,-89,3.3900000000000015,2020,,,L1 incident at the end. Braked for #11 who had spun and #18 rear ended me. Drivable car but too much damage we're done. Would've had pace for P10 65points.
147,2022 S1,W02,2021-12-28,F3.5,,Phillip Island,7,7,0,0,1988,72,3,2,28,1.19.587,1.18.392,0.16,18,3.5500000000000016,2038,,,Almost race pace. Could've been P6 and 80pts if my best pace from the other race.
148,2022 S1,W03,2021-12-29,SRF,,Red Bull Ring - National,14,9,0,0,1478,48,3,13,25,1.00.681,0.58.274,-0.44,-15,3.1100000000000017,2023,Marco Panero,Not upheld,"P1 pushed me out from P6. P8 was weaving and blocking, didn't get past."
149,2022 S1,W03,2021-12-29,F3.5,,Red Bull Ring,12,9,0,0,1758,69,3,9,27,1.22.481,1.18.521,-0.56000000000000005,17,2.5500000000000016,2040,,,Race pace but lot of traffic and one misjudgement at P8 that cost me a pitstop. Had pace for P6 and 84pts
150,2022 S1,W03,2021-12-30,F3.5,,Red Bull Ring,11,13,0,0,1967,48,3,8,27,1.21.713,1.18.571,-0.10000000000000001,-19,2.4500000000000015,2021,,,Race pace but rear ended someone and caused a pit stop. Lost 25s with pit stop. Had pace for P9 potentially.
151,2022 S1,W03,2021-12-30,SRF,,Red Bull Ring - National,4,9,0,0,1624,25,3,6,26,0.59.904,0.57.902,-0.10000000000000001,-56,2.3800000000000012,1965,Sam Holter,,Race pace but L1 incident caused pit stop and never caught up.
152,2022 S1,W03,2021-12-31,SRF,,Red Bull Ring - National,3,2,0,1,1855,99,3,2,26,0.58.562,0.57.750,8.0000000000000002e-02,71,2.4600000000000013,2036,,,"Race pace. Incident free. Swung from P4 to P2, benefited from battle of Joost Simkens and Eduard Esteve"
153,2022 S1,W03,2022-01-01,911GT3R,,Red Bull Ring,38,20,0,0,1382,47,3,12,71,1.33.892,1.32.111,0.14000000000000001,1,2.6000000000000014,2037,,,Race pace
154,2022 S1,W03,2022-01-01,F3.5,,Red Bull Ring,5,5,0,0,1920,54,3,4,28,1.20.063,1.18.852,0.10000000000000001,-2,2.7000000000000015,2035,,,Race pace. Had potential for P4 but got rear ended and spun. No pitstop luckily.
155,2022 S1,W03,2022-01-03,AMG W12,,Suzuka - GP,22,16,0,0,2097,52,3,5,13,1.33.106,1.31.083,-4.0000000000000001e-02,-17,2.6600000000000015,2018,,,"Race pace. 5s off leaders pace, 1s off everyone elses pace."
156,2022 S1,W04,2022-01-04,F3.5,,Twin Ring Motegi - GP,3,3,0,1,1597,51,3,1,23,1.39.466,1.38.196,0.28000000000000003,1,2.9400000000000013,2019,,,Race pace 2nd part of the race only. Let P2 go because of fear of bad driving behind.
157,2022 S1,W04,2022-01-07,F3.5,,Twin Ring Motegi - GP,14,15,0,0,2148,55,3,2,23,1.40.067,1.38.029,0.65000000000000002,-8,3.5900000000000012,2011,,,Race pace except L4 incident with Joshua Wong 2700 ir driver.
158,2022 S1,W04,2022-01-07,F3.5,,Twin Ring Motegi - GP,3,2,0,1,1238,65,3,0,23,1.39.518,1.38.326,0.19,40,3.7800000000000011,2051,,,Race pace. No incidents
159,2022 S1,W04,2022-01-08,911GT3R,,Phillip Island,39,30,0,0,2813,46,3,7,75,1.33.376,1.29.731,0.20999999999999999,-14,3.930000000000001,2037,,,Race pace only second stint after pedal calibration
160,2022 S1,W05,2022-01-14,F3.5,,Suzuka - GP,13,10,0,0,2806,50,3,1,21,1.49.335,1.47.614,0.57999999999999996,-10,4.5100000000000007,2027,,,Cautions race pace.
161,2022 S1,W05,2022-01-15,F3.5,,Suzuka - GP,13,13,0,0,1961,29,3,1,11,1.46.927,1.45.920,5.0000000000000003e-02,-47,4.5600000000000005,1980,DNF,,Race pace until sefl spun at P10. Terminal damage. Had pace for P9 and 59pts
162,2022 S1,W05,2022-01-16,F3.5,,Suzuka - GP,12,12,0,0,2780,13,3,0,13,1.47.577,1.46.192,0.13,-49,4.6900000000000004,1931,DNF,,Race pace. Too high SOF. Blackout around lap 10 when I was at P10.
163,2022 S1,W05,2022-01-17,F3.5,,Suzuka - GP,20,20,0,0,2644,15,3,4,2,,,-0.19,-51,4.5,1880,DNF,,"Taken out L2 by Martin Oberhofer2, too much damage."
164,2022 S1,W06,2022-01-19,SRF,,Road Atlanta - Short,6,5,0,0,1941,54,3,1,24,1.05.815,1.04.448,5.9999999999999998e-02,3,4.6299999999999999,1883,,,"Race pace but not quite as practised. One self runoff, didn't affect results."
165,2022 S1,W06,2022-01-21,SRF,,Road Atlanta - Short,4,4,0,0,1320,54,3,1,24,1.05.404,1.04.055,7.0000000000000007e-02,13,4.7000000000000002,1896,,,Race pace.
166,2022 S1,W06,2022-01-22,911GT3R,,Daytona - Road,27,18,0,0,1745,57,3,4,25,1.50.335,1.45.771,-5.9999999999999998e-02,-3,4.6400000000000006,1893,,,"Race pace. One incident, cost me one P."
167,2022 S1,W06,2022-01-22,USF2000,,Mosport,4,5,0,0,1307,46,3,2,12,1.21.432,1.19.817,-2.9999999999999999e-02,-6,4.5899999999999999,1887,,,Race pace considering no practice.
168,2022 S1,W06,2022-01-23,F3.5,,Long Beach,11,6,0,0,1890,89,3,4,28,1.13.024,1.11.832,-5.0000000000000003e-02,51,4.54,1938,,,"Race pace, incident free. Net contact 4x with no damage on Lap 1. Fuel 47.5l, 7.29l left at the end"
169,2022 S1,W06,2022-01-23,911GT3R,Daytona 24hr,Daytona - Road,5,11,0,0,11,78,3,18,111,1.49.841,1.45.978,-0.19,3,4.3499999999999996,1941,,,"Daytona 24hr. Endurance team effort. First stint was given P2, gave P6 forward."
170,2022 S1,W06,2022-01-24,SRF,,Road Atlanta - Short,10,7,,,1904,44,3,5,23,1.06.866,1.04.311,-0.10000000000000001,-18,4.25,1923,Skip Brock Jr,Didn't lodge,Race pace but lap 2 incident and pit stop after one wasted lap
171,2022 S1,W06,2022-01-25,SRF,,Road Atlanta - Short,2,3,,,1486,74,3,1,24,1.04.564,1.03.198,8.9999999999999997e-02,44,4.3399999999999999,1967,Denny Icipek2,Held,"Race pace, had to yield P2 for rookie div driver who did try to push me out when passing"
172,2022 S1,W07,2022-01-29,F3.5,,Barcelona - Historic,3,5,,,1462,15,3,5,23,1.31.296,1.27.494,-5.9999999999999998e-02,-68,4.1299999999999999,1899,,,"Race pace, held P3 until penultimate lap, pitted for fuel, fell down to P5. 47.5Liters was not enough"
173,2022 S1,W07,2022-01-29,F3.5,,Barcelona - Historic,6,7,,,2207,41,3,1,24,1.28.230,1.27.097,0.13,-17,4.2599999999999998,1882,,,"Race pace, just too high SOF. Comparing to other races, pace is enough for lower split podium"
174,2022 S1,W07,2022-01-30,F3.5,,Barcelona - Historic,8,10,,,1771,65,3,7,24,1.29.209,1.27.645,-0.12,13,4.1399999999999997,1895,Charles M Stuart,Didn't lodge,Race pace but little shaken due to L1 incident with Charles M Sears. Potential for P5 with yesterdays record pace
175,2022 S1,W07,2022-01-31,F3.5,,Barcelona - Historic,10,8,,,2464,66,3,3,24,1.29.037,1.27.139,2.9999999999999999e-02,13,4.1699999999999999,1908,,,Race pace. Potential for P7 but two self spins cost 18s
176,2022 S1,W08,2022-02-02,F3.5,,Watkins Glen - Classic Boot,13,12,,,2848,60,3,3,25,1.36.385,1.31.313,-2.e-02,3,4.1500000000000004,1911,Andreas Beer,Didn't lodge,"Race pace, Was P7 got taken out by Andreas Beer at T1. Had pace for P8 (100pts)"
177,2022 S1,W08,2022-02-03,F3.5,,Watkins Glen - Classic Boot,3,4,,,1298,62,3,1,25,1.31.901,1.30.927,0.11,27,4.2600000000000007,1938,,,"Race pace, tougher opposition than previous race. Bottom split. Would've been 89pts in top split with this avg"
178,2022 S1,W08,2022-02-03,F3.5,,Watkins Glen - Classic Boot,3,2,,,1493,74,3,0,25,1.32.136,1.31.445,0.16,50,4.410000000000001,1988,,,"Race pace, solo run from start to finish"
179,2022 S1,W08,2022-02-03,SRF,,Oran Park - GP,8,11,,,2493,13,3,8,19,1.18.740,1.14.532,-0.23000000000000001,-55,4.1800000000000006,1933,,,Race pace. Self spin at L12 and dropped from P5 (91pts) to P11
179,2022 S1,W08,2022-02-04,SRF,,Oran Park - GP,6,8,,,1767,53,3,10,20,1.16.585,1.14.481,-0.68000000000000005,-6,3.5000000000000004,1927,Nathan Debanne2,Held,"Race pace, was P4 (83pts) then pushed by Nathan, down to P6 (68pts), then self spin trying to overtake Nathan, dropped to P8"
180,2022 S1,W08,2022-02-04,SRF,,Oran Park - GP,2,1,,,1208,73,3,0,20,1.15.260,1.14.258,0.17000000000000001,61,3.6700000000000004,1988,,,"Race pace, led every lap"
181,2022 S1,W08,2022-02-05,SRF,,Oran Park - GP,4,2,,,1844,96,3,0,20,1.14.874,1.13.870,0.19,68,3.8600000000000003,2056,,,"Race pace, epic battle for P2 with first Brad Cathcart 2kiR and when he self spun, Gabriele Labati 3kiR"
182,2022 S1,W08,2022-02-06,F3.5,,Watkins Glen - Classic Boot,17,17,,,2502,8,3,2,15,1.32.806,1.31.149,-5.9999999999999998e-02,-66,3.8200000000000003,1990,Amos Luciani,Not upheld,DNF. Was P13 got pushed out by Amos Luciani who finished P11 61pts. Terminal damage
183,2022 S1,W09,2022-02-09,F3.5,,Road America,13,16,,,1756,27,3,4,7,1.55.151,1.52.479,-0.13,-55,3.6900000000000004,1935,Jens Przezbor,Held,DNF. Was 10 crashed into Jens who didn't  hold his brakes.
184,2022 S1,W09,2022-02-09,F3.5,,Road America,5,4,,,2704,93,3,0,20,1.52.632,1.51.330,0.27000000000000002,49,4.0100000000000007,1984,,,Race pace. 
185,2022 S1,W09,2022-02-12,911GT3R,,Bathurst,39,19,,,1896,84,3,4,45,2.11.507,2.09.095,0.88,25,4.8000000000000007,2009,,,Race pace.
186,2022 S1,W09,2022-02-14,SRF,,Interlagos,8,9,,,2525,39,3,5,14,1.51.044,1.48.829,-0.17000000000000001,-22,4.6300000000000008,1987,,,Race pace. One self spin at L6 lost me one position. Had potential for P8 52pts. Fourth race attempt to go official.
187,2022 S1,W09,2022-02-15,SRF,,Interlagos,5,6,,,1784,45,3,3,14,1.50.892,1.49.684,-7.0000000000000007e-02,-15,4.6000000000000005,1972,,,"Race pace, lap 1 incident where i pushed someone out."
188,2022 S1,W010,2022-02-18,SRF,,Hungaroring,7,6,,,1863,54,3,6,12,2.04.497,2.02.273,-0.25,-3,4.3500000000000005,1969,Marco Trespidi,Didn't lodge,"Race pace, last lap battle with Marco got a bit incident ridden. Would've been P5 without it."
189,2022 S1,W010,2022-02-18,AMG GT3,,Watkins Glen - Boot,19,16,,,1776,49,3,1,23,1.50.950,1.47.627,0.11,-18,4.4600000000000009,1951,,,Race pace.
190,2022 S1,W010,2022-02-18,F3.5,,Spa - GP,16,7,,,1748,71,3,1,18,2.07.598,2.05.649,0.14000000000000001,24,4.6000000000000005,1975,,,Race pace. 
191,2022 S1,W010,2022-02-19,AMG GT3,,Watkins Glen - Boot,18,11,,,1801,92,3,2,49,1.50.309,1.47.474,0.19,24,4.7900000000000009,1999,,,Race pace. Two off tracks.
192,2022 S1,W010,2022-02-21,SRF,,Hungaroring,7,6,,,2358,49,3,3,12,2.03.935,2.02.374,-8.0000000000000002e-02,-8,4.7100000000000009,1991,,,"Race pace, not enough practice and high SOF"
193,2022 S1,W011,2022-02-23,SRF,,Phillip Island,3,3,,,1590,79,3,3,15,1.44.752,1.43.485,-2.e-02,48,4.5500000000000016,2039,,,Race pace. Exciting battle for P3.
194,2022 S1,W011,2022-02-26,F3.5,,Okayama - Full,4,6,,,1626,47,3,0,29,1.20.327,1.19.124,0.17000000000000001,-13,4.7200000000000015,2026,,,"Race pace, just not enough"
195,2022 S1,W011,2022-02-26,911GT3R,,Sebring - International,16,11,,,2686,72,3,8,33,2.08.327,2.03.204,-0.14999999999999999,5,4.5700000000000012,2031,,,"Race pace, two contacts with LMP and one with GT3"
196,2022 S1,W011,2022-02-26,SRF,,Phillip Island,4,6,,,1914,17,3,8,15,1.47.714,1.44.004,-0.28999999999999998,-61,4.2800000000000011,1970,Massimiliano Pagano3,Didn't lodge,"Race pace, L1 punt from behind by Div 7 driver. Repairs and race lost. Had pace for podium."
197,2022 S1,W012,2022-03-03,SRF,,Charlotte - Roval,5,6,,,1527,62,3,0,17,1.32.988,1.31.751,0.16,15,4.4400000000000013,1985,,,"Race pace, started from pits. Had pace for P4 74pts."
198,2022 S1,W012,2022-03-05,SRF,,Charlotte - Roval,5,6,,,1937,61,3,0,17,1.32.907,1.31.288,0.17000000000000001,6,4.6100000000000012,1991,,,"Race pace. Was P4, self spin dropped two positions."
199,2022 S2,W01,2022-03-15,F3.5,,Suzuka - GP,3,3,,,1512,63,3,0,21,1.47.385,1.46.490,0.14000000000000001,25,4.7500000000000009,2016,,,"Race pace, incident free race."
200,2022 S2,W01,2022-03-15,Ford GTE,,Sebring - International,4,3,,,2278,55,3,3,30,2.05.108,2.00.461,0.10000000000000001,8,4.8500000000000005,2024,,,Race pace. Only off tracks
201,2022 S2,W01,2022-03-19,AMG GT3,,Sebring - International,,27,,,2004,55,3,0,30,2.06.609,2.03.824,0.14000000000000001,-7,4.9900000000000002,2017,,,Race pace with slightly damaged car.
202,2022 S2,W01,2022-03-19,AMG GT3,,Sebring - International,26,22,,,2286,39,3,4,19,2.13.091,2.01.328,0,-33,4.9900000000000002,1984,Emre Guler,Didn't lodge,"Race pace, Lap 6 incident that lead to 2min repairs."
