Race #,Season,Week,Date,Car,Series,Track,Qualified,Race finish,Win,Podium,Race SOF,Chmpship pts,Division,Inc,Laps,Avg lap time,Fastest Lap time,SR change,iR change,SR post race,iR post race,Protestee,Protest upheld,Note
203,2022 S2,W02,2022-03-23,F3.5,,Imola,7,5,,,2195,39,3,3,23,1.35.293,1.33.334,0,-20,4.9900000000000002,1964,,,Race pace. Too high SOF. And not quite up to pace at Imola
204,2022 S2,W02,2022-03-24,Ford GTE,,Nurburgring - GP,2,2,,,1602,54,3,3,32,1.57.107,1.53.816,0,17,4.9900000000000002,1981,,,Race pace but first half not consistent due to fuel calc stress. Use crewchief. Pace was for P3 but P2 spun on last lap.
205,2022 S2,W02,2022-03-26,F3.5,,Imola,13,8,,,1945,84,3,3,23,1.34.241,1.32.239,0,37,4.9900000000000002,2018,,,Race pace. Two self spins at the chicane.
206,2022 S2,W02,2022-03-27,AMG GT3,Sebring 12hr,Sebring - International,24,12,,,2291,77,3,11,82,2.05.424,2.01.097,0,2,4.9900000000000002,2020,,,"Race pace, triple stint. 5 laps to go had incident with LMP resulting in a drive-through and bent steering. Sebring 12hr"
207,2022 S2,W03,2022-04-01,F3.5,,Sebring - International,5,4,,,2047,42,3,0,21,1.49.161,1.47.970,0,-12,4.9900000000000002,2008,,,Race pace. Too fww participant for good points at this SOF
208,2022 S2,W03,2022-04-01,Ford GTE,,Interlagos,6,6,,,2043,31,3,3,38,1.35.622,1.33.413,0,-37,4.9900000000000002,1971,,,Race pace but didn't practice outside of pre-race open seesion 30min.
209,2022 S2,W03,2022-04-02,F3.5,,Sebring - International,11,13,,,1983,9,3,2,12,1.49.799,1.47.533,0,-76,4.9900000000000002,1895,,,Race pace. Would've been P7 if didn't disconnect halfway through. Thanks Apple timemachine
210,2022 S2,W03,2022-04-02,911GT3R,VRS Team,Daytona - Road,12,37,,,2523,45,3,4,27,1.56.500,1.54.316,0,-9,4.9900000000000002,1886,,,"Broken car, tried to finish without incidents to avoid DQ."
211,2022 S2,W03,2022-04-02,F3.5,,Sebring - International,4,4,,,1834,65,3,0,21,1.47.971,1.46.488,0,21,4.9900000000000002,1907,,,Race pace. Was catching P3 and P5 was catching me.
212,2022 S2,W03,2022-04-03,F3.5,,Sebring - International,11,9,,,1659,63,3,5,21,1.49.857,1.46.948,0,14,4.9900000000000002,1921,,,"Race pace. Self spin when P7, dropped to P9. Last lap attempt at James Mallow who had spun but he had better car placement and I lost control and almost dropped to P10."
213,2022 S2,W03,2022-04-03,911GT3R,VRS Sprint,Daytona - Road,23,21,,,2081,37,3,1,23,1.49.228,1.45.795,0,-35,4.9900000000000002,1886,,,Race pace.
214,2022 S2,W04,2022-04-05,911GT3R,VRS Sprint,Nurburgring - Combined Gesamtstrecke 24hr,3,12,,,1850,68,3,2,5,8.56.601,8.44.541,0,16,4.9900000000000002,1902,,,Race pace. Started from pits.
215,2022 S2,W04,2022-04-08,F3.5,,Hockenheim - GP,8,10,,,2069,11,3,4,2,1.35.941,,-0.11,-65,4.8799999999999999,1837,Baptiste Gopez,Didn't lodge,"Lap 2 incident, Car #11 overtook me and soon after I rear ended him as he slowed down a lot in almost flat out corner."
216,2022 S2,W04,2022-04-09,AMG GT3,VRS Team,Nurburgring - Combined Gesamtstrecke 24hr,,38,,,1899,0,3,2,1,,,-0.11,-6,4.7699999999999996,1831,,,VR shutdown on lap 1
217,2022 S2,W04,2022-04-09,F3.5,,Hockenheim - GP,10,9,,,1891,37,3,2,20,1.27.466,1.26.273,1.e-02,-27,4.7799999999999994,1804,,,"Race pace, VR shutdown 6 laps to go. Was P6. P6 finished with 65pts"
218,2022 S2,W05,2022-04-16,Ford GTE,,Silverstone - GP,16,14,,,1634,37,3,16,29,2.08.423,2.03.915,-0.55000000000000004,-31,4.2299999999999995,1773,,,"6s off the pace, 0 practice. VR worked again after NVIDIA driver update"
219,2022 S2,W05,2022-04-17,F3.5,,Road America,15,10,,,1783,65,3,0,20,1.52.869,1.52.087,0.19,18,4.4199999999999999,1791,,,"Almost race pace. Missed start, thanks to my mistake (win+L) with VR. Had to restart PC, then join race. My avg lap pace was good for P6 85pts"
220,2022 S2,W05,2022-04-19,F3.5,,Road America,10,13,,,2354,10,3,4,4,1.56.057,1.51.984,-0.14000000000000001,-56,4.2800000000000002,1735,Jason Noe,Upheld,"Unsafe rejoin by 7year member 1600iR, didn't hold brakes, continued race me DNF."
221,2022 S2,W06,2022-04-20,AMG GT3,VRS Sprint,Road America,18,16,,,1785,41,3,6,17,2.28.540,2.05.098,-8.0000000000000002e-02,-21,4.2000000000000002,1714,Mathias Gebhart,Didn't lodge,First lap netcode and 5min of repairs.
222,2022 S2,W06,2022-04-21,AMG GT3,VRS Sprint,Road America,19,11,,,1630,67,3,1,20,2.08.746,2.04.566,0.16,26,4.3600000000000003,1740,,,"Race pace, one push to pass caused 1x and slightly bent steering. Good battle for P10 and 6 hundredths behind at finish line"
223,2022 S2,W06,2022-04-22,Ford GTE,,Monza - GP no chicane,2,4,,,1477,43,3,12,36,1.41.038,1.36.201,-0.33000000000000002,-2,4.0300000000000002,1738,,,"Race pace, lots of off tracks and two minor LMP incidents that slowed down but no repairs required."
224,2022 S2,W06,2022-04-23,AMG GT3,VRS Team,Road America,27,27,,,1394,34,3,2,47,2.09.133,2.05.705,0.35999999999999999,-25,4.3900000000000006,1713,,,"Race pace, incident free."
225,2022 S2,W07,2022-04-26,F3.5,,Spa - GP,5,8,,,2161,8,3,4,1,,,-0.16,-68,4.2300000000000004,1645,Batbileg Batjav 900iR,Upheld,First lap incident and game over.
226,2022 S2,W07,2022-04-26,F3.5,,Spa - GP,5,6,,,2084,66,3,5,18,2.05.474,2.04.254,0,25,4.2300000000000004,1670,,,Race pace
227,2022 S2,W07,2022-04-26,AMG GT3,VRS Sprint,Winton,12,12,,,1903,50,3,5,30,1.21.922,1.19.316,-2.e-02,-4,4.2100000000000009,1666,aleksander Jakubiak,Upheld,Race pace. First lap incident put me to very last.
228,2022 S2,W07,2022-04-28,F3.5,,Spa - GP,10,6,,,1875,84,3,4,18,2.05.962,2.04.100,0,53,4.2100000000000009,1719,,,Race pace. Wild race trying to keep HDF wing lower iR guys behind.
229,2022 S2,W07,2022-04-29,Ford GTE,,Watkins Glen - Boot,16,10,,,2037,68,3,0,34,1.48.083,1.44.560,0.23000000000000001,21,4.4400000000000013,1740,,,"Race pace, incident free."
230,2022 S2,W07,2022-04-30,F3.5,,Spa - GP,14,15,,,2803,37,3,9,15,2.05.509,2.04.279,-0.25,-16,4.1900000000000013,1724,,,"Race pace, was P10 before self spun L14 and terminal damage. P10 would've been 84pts. Should've slammed brakes to not hit the wall."
231,2022 S2,W08,2022-05-04,F3.5,,Bathurst,4,5,,,1682,58,3,4,20,1.53.936,1.52.151,0.16,17,4.3500000000000014,1741,,,"Race pace, add 0.06 SR from unofficial race. Contact with Alfredo Huergo no damage, lost some confidence to pace though. My fault."
232,2022 S2,W08,2022-05-04,F3.5,,Bathurst,2,2,,,1569,75,3,0,20,1.54.103,1.51.899,0.25,55,4.6000000000000014,1796,,,"Race pace, Kobus took the win."
233,2022 S2,W09,2022-05-13,Ford GTE,,Nurburgring - Combined Gesamtstrecke Long,9,6,,,1607,75,3,3,8,8.54.110,8.40.422,0.39000000000000001,39,4.9900000000000011,1835,,,"Race pace. Missed start, everyone else crashed out."
234,2022 S2,W010,2022-05-20,F3.5,,Laguna Seca,5,4,,,2133,57,3,1,29,1.13.503,1.12.359,0,11,4.9900000000000011,1846,,,Race pace of a fatigued mind. 
235,2022 S2,W010,2022-05-21,AMG GT3,VRS Team,Interlagos,,34,,,2836,48,3,14,55,1.37.501,1.34.431,-0.32000000000000001,-9,4.6700000000000008,1837,,,"Race pace, started P38 after Keegan"
236,2022 S2,W010,2022-05-21,Lotus79,,Zandvoort,13,12,,,2770,34,3,0,27,1.30.702,1.28.963,0.19,-21,4.8600000000000012,1816,,,Race pace. First L79 race
237,2022 S2,W010,2022-05-23,F3.5,,Laguna Seca,5,4,,,2105,44,3,3,30,1.14.350,1.12.340,0,-5,4.8600000000000012,1811,,,Race pace. Got flustered after overtaken lap 21 and had two spins on consequential laps. Need more warm up and learn the track.
238,2022 S2,W011,2022-05-28,Ford GTE,,Daytona - Road,11,9,,,2030,39,3,8,35,1.48.014,1.44.554,-0.25,-22,4.6100000000000012,1789,Ozan H Karakaya,Didn't lodge,Race pace. Got pushed out Lap 3 but probably didn't make difference to end position although lost some mental pace because of this incident.
239,2022 S2,W012,2022-05-31,F3.5,,Interlagos,2,4,,,1698,46,3,4,26,1.27.155,1.23.793,-2.e-02,-2,4.5900000000000016,1787,Kevin Startup,Didn't lodge,"Race pace, had chance for P3, was battling for it when P3 spun and didn't hold brakes."
240,2022 S2,W012,2022-06-03,Ford GTE,ESS Sprint,Le Mans,7,8,,,1649,33,3,4,15,4.15.655,4.04.338,7.0000000000000007e-02,-34,4.6600000000000019,1753,,,Race pace but 10s slower than 1k iR drivers.
241,2022 S2,W012,2022-06-04,Ford GTE,ESS Teams,Le Mans,,12,,,2030,0,3,11,36,4.07.378,4.00.327,7.0000000000000007e-02,-22,4.7300000000000022,1731,,,"DQ, didn't meet driver change requirements."
242,2022 S2,W012,2022-06-04,F3.5,,Interlagos,9,6,,,1993,68,3,0,26,1.24.529,1.23.340,0.20999999999999999,26,4.9400000000000022,1757,,,Race pace.
243,2022 S3,W01,2022-06-15,F3.5,,Suzuka - GP,4,3,,,2182,77,3,4,21,1.48.493,1.45.891,-7.0000000000000007e-02,44,4.8700000000000019,1801,,,Race pace. Iracing Suzuka setup
244,2022 S3,W01,2022-06-18,AMG 2020 GT3,VRS Sprint,Hockenheim - GP,20,18,,,1856,45,3,17,25,1.42.396,1.39.049,-0.66000000000000003,-18,4.2100000000000017,1783,,,"Race pace, 8x legit, rest net code"
245,2022 S3,W01,2022-06-18,AMG 2020 GT3,VRS Team,Hockenheim - GP,,15,,,2045,87,3,6,26,1.40.363,1.38.871,-4.0000000000000001e-02,7,4.2600000000000016,1790,,,Race pace. Disconnect with 20min to go in my stint.
246,2022 S3,W02,2022-06-22,F3.5,,Imola,8,9,,,1871,30,3,14,23,1.37.945,1.32.783,-0.71999999999999997,-37,3.5400000000000018,1753,James Mallow,Upheld,"Race pace. Was P1 until lap 5, then dropped to P6 after being pushed out by James Mallow. Then was P8 and got hit again, did a pit stop and ended up P10. Finished P9 after someone crashed out and Mallow passed me on last lap."
247,2022 S3,W02,2022-06-24,AMG 2020 GT3,VRS Sprint,Long Beach,13,16,,,1526,30,3,20,29,1.24.029,1.20.475,-0.95999999999999996,-44,2.5800000000000018,1709,Maurice Fevre,,Was P13 until someone divebombed me into wall. Pitted early and never got the pace back.
248,2022 S3,W02,2022-06-24,F3.5,,Imola,,10,,,1366,34,3,5,22,1.39.930,1.35.203,0.16,-21,2.740000000000002,1688,Antonio Mele,Didn't lodge,L1 incident someone lost control on my inside. Pitstop but required repairs did not fix and I was 3sec down on laptime for the rest of the race. Still would've had pace for P9 only.
249,2022 S3,W02,2022-06-25,AMG 2020 GT3,VRS Team,Long Beach,,32,,,2121,56,3,16,55,1.28.545,1.25.435,-0.16,-5,2.5800000000000018,1683,,,Inherited broken car no bonnet loss of top speed
250,2022 S3,W02,2022-06-25,Lotus79,,Bathurst,7,7,,,2044,38,3,0,22,1.57.551,1.54.411,0.95999999999999996,-16,3.5400000000000018,1667,,,No warm up. Had potential for P6 51pts but didn't quite make it by 0.04sec
251,2022 S3,W02,2022-06-25,F3.5,,Imola,11,11,,,2024,50,3,5,23,1.36.338,1.34.374,5.9999999999999998e-02,-2,3.6000000000000019,1665,,,"Race pace but started last from the pits, then self spun and damage on lap 1."
252,2022 S3,W02,2022-06-26,F3.5,,Imola,6,4,,,1502,67,3,1,24,1.34.982,1.32.663,0.26000000000000001,39,3.8600000000000021,1704,,,Race pace but felt like I could've driven better. Had the pace for P4 but stuffed up and started with quali fuel. Had to stop for refuel.
253,2022 S3,W03,2022-07-03,F3.5,,Fuji - GP,4,5,,,1627,29,3,0,26,1.29.706,1.28.671,0.72999999999999998,-32,4.5900000000000016,1672,,,Race pace but didn't have the pace to keep up.
254,2022 S3,W04,2022-07-05,F3.5,,Monza - GP,8,10,,,1852,5,3,7,12,1.41.937,1.39.321,-0.25,-82,4.3400000000000016,1590,Felix Olsen,Upheld,Driver didn't attempt a safe overtake but chose to dive into my apex from blind spot pushing us both out.
255,2022 S3,W04,2022-07-07,F3.5,,Monza - GP,9,5,,,1870,80,3,0,23,1.40.677,1.39.521,0.13,51,4.4700000000000015,1641,,,"Race pace, but lot of fast guys crashed out."
256,2022 S3,W04,2022-07-08,AMG 2020 GT3,VRS Sprint,Watkins Glen - Boot,21,14,,,1547,52,3,4,23,1.49.894,1.46.579,-2.9999999999999999e-02,2,4.4400000000000013,1643,,,"Race pace. Only 4x, clean racing"
257,2022 S3,W04,2022-07-09,AMG 2020 GT3,VRS Sprint,Watkins Glen - Boot,16,10,,,1533,61,3,4,23,1.49.359,1.46.516,-2.e-02,22,4.4200000000000017,1665,,,Race pace. Good battle with Moises Diaz 1.5k driver. He passed me on last lap.
258,2022 S3,W04,2022-07-09,AMG 2020 GT3,VRS Team,Watkins Glen - Boot,,19,,,2701,115,3,2,28,1.48.206,1.47.224,8.0000000000000002e-02,15,4.5000000000000018,1680,,,Race pace.
259,2022 S3,W05,2022-07-12,F3.5,,Watkins Glen - Classic Boot,5,4,,,1849,70,3,0,25,1.31.866,1.30.883,0.14999999999999999,37,4.6500000000000021,1717,,,"Race pace. L11 fine, L12 almost lost the car same corner."
260,2022 S3,W05,2022-07-14,F3.5,,Watkins Glen - Classic Boot,8,7,,,1739,52,3,3,24,1.34.674,1.31.513,-1.e-02,1,4.6400000000000023,1718,,,"Race pace, got netcoded on L1 had to stop for repairs and tried to catch up. Got called names for not letting top 3 by on second last lap."
261,2022 S3,W05,2022-07-15,F3.5,,Watkins Glen - Classic Boot,5,3,,,1805,80,3,0,25,1.31.912,1.30.782,0.14999999999999999,53,4.7900000000000027,1771,,,"Race pace, incident free solo drive."
262,2022 S3,W05,2022-07-16,F3.5,,Watkins Glen - Classic Boot,9,15,,,1928,20,3,4,5,1.33.350,1.30.977,-0.19,-53,4.6000000000000023,1718,Alvaro Ferreiro Rodigues,Not upheld,"Very fast race pace, got pushed out lap 5 with terminal damage. Would've been P8 with previous race pace."
263,2022 S3,W06,2022-07-19,F3.5,,Okayama - Full,3,3,,,1677,52,3,0,29,1.18.820,1.17.941,0.14999999999999999,14,4.7500000000000027,1732,,,Race pace but not confident.
264,2022 S3,W06,2022-07-19,F3.5,,Okayama - Full,4,5,,,2068,37,3,4,28,1.22.219,1.18.198,-0.10000000000000001,-15,4.650000000000003,1717,,,Netcoded lap 1 and 30s required repairs. Had potential for P4 only.
265,2022 S3,W06,2022-07-22,AMG 2020 GT3,VRS Sprint,Spa ,19,12,,,1664,63,3,3,18,2.21.867,2.17.490,5.0000000000000003e-02,18,4.7000000000000028,1735,,,"Race pace, avoided incidents. Too much fuel at pitstop"
266,2022 S3,W06,2022-07-24,F3.5,,Okayama - Full,6,9,,,1751,49,3,4,29,1.19.916,1.18.629,-5.0000000000000003e-02,-5,4.650000000000003,1730,,,Lap 2 contact with overkeen Brazilian who spun in front of me.
267,2022 S3,W06,2022-07-24,AMG 2020 GT3,Spa 24hr,Spa ,,15,,,2347,107,3,11,75,2.22.856,2.17.656,0.19,5,4.8400000000000034,1735,,,Race pace
268,2022 S3,W07,2022-07-26,Mazda MX-5,Rookie,Oran Park - GP,10,11,,,1790,9,3,2,9,1.20.748,1.18.011,-8.0000000000000002e-02,-72,4.7600000000000033,1663,,,Lap 2 incident due to being afraid of someone in my bumper. 
269,2022 S3,W07,2022-07-29,F3.5,,Hockenheim - GP,3,8,,,1422,10,3,2,10,1.27.842,1.26.644,-2.e-02,-77,4.7400000000000038,1586,,,Lost internet Lap 11
270,2022 S3,W07,2022-07-30,F3.5,,Hockenheim - GP,,15,,,2254,4,3,7,3,1.35.957,1.28.737,-0.34000000000000002,-68,4.4000000000000039,1518,Alvaro Garcia Garcia,Upheld,"L1 divebomb, L3 netcoded into wall. Would've had potential for P8 and 67pts"
271,2022 S3,W07,2022-07-26,Mazda MX-5,Rookie,Oran Park - GP,7,7,,,1548,41,3,8,10,1.19.258,1.17.238,-0.28000000000000003,-6,4.1200000000000037,1512,,,Couple of dive bombers pushed to pass
272,2022 S3,W07,2022-07-26,Mazda MX-5,Rookie,Oran Park - GP,8,7,,,1519,40,3,5,10,1.19.302,1.16.979,-0.12,-8,4.0000000000000036,1504,,,Race pace. One self off track but no dmg
273,2022 S3,W07,2022-07-30,F3.5,,Hockenheim - GP,8,7,,,1978,80,3,4,26,1.27.129,1.25.814,5.9999999999999998e-02,50,4.0600000000000032,1554,,,Race pace. Started from the pits and by some miracle avoided all incidents.
274,2022 S3,W08,2022-08-05,AMG 2020 GT3,VRS Sprint,Hungaroring,17,9,,,1326,57,3,4,23,1.48.172,1.45.607,2.e-02,23,4.0599999999999996,1577,,,Race pace. Clean racing with some off tracks
275,2022 S3,W08,2022-08-05,F3.5,,Silverstone - GP,10,6,,,2061,71,3,4,21,1.47.450,1.45.523,4.0000000000000001e-02,34,4.0999999999999996,1611,,,"Race pace, only off tracks. Had to save fuel in the end."
276,2022 S3,W08,2022-08-05,F3.5,,Silverstone - GP,8,9,,,3034,18,3,1,21,1.47.012,1.45.596,0.17000000000000001,-24,4.2699999999999996,1587,,,"Race pace, too high SOF."
277,2022 S3,W09,2022-08-09,AMG 2020 GT3,VRS Sprint,Suzuka - GP,22,13,,,1750,57,3,0,20,2.04.482,2.01.519,0.17999999999999999,10,4.4499999999999993,1597,,,"Race pace, a bit uncomfortable. Clean racing with japs"
278,2022 S3,W09,2022-08-12,F3.5,,Twin Ring Motegi - GP,7,7,,,2284,17,3,1,23,1.40.463,1.38.812,0.11,-37,4.5599999999999996,1560,,,"Race pace, too high SOF."
279,2022 S3,W09,2022-08-13,AMG 2020 GT3,VRS Team,Suzuka - GP,38,30,,,1473,36,3,30,19,2.06.597,2.00.569,-1.3799999999999999,-15,3.1799999999999997,1545,,,"Race pace, too close racing and L15 incident and pushed out."
280,2022 S3,W09,2022-08-14,F3.5,,Twin Ring Motegi - GP,13,11,,,2250,55,3,0,23,1.39.559,1.38.254,0.23999999999999999,9,3.4199999999999999,1554,"Jozua, Kikko Russo","Jozua not upheld, Kikko upheld","Race pace, could've qualified properly for better result. "
281,2022 S3,W09,2022-08-14,AMG 2020 GT3,VRS Sprint,Suzuka - GP,,10,,,1448,56,3,5,20,2.04.935,2.01.574,4.0000000000000001e-02,18,3.46,1572,Felix Olsen,Upheld,"Race pace, one incident with unsafe rejoin and one self off track when got stressed about Zach Robinson behind me."
282,2022 S3,W010,2022-08-19,F3.5,,Spa - GP,,7,,,2036,76,3,1,18,2.05.213,2.04.018,0.20999999999999999,41,3.6699999999999999,1613,,,"Race pace, clean race, defending from Jan Vokurka 1421iR"
283,2022 S3,W010,2022-08-20,AMG 2020 GT3,VRS Team,Nurburgring - GP,,20,,,1490,32,3,1,43,2.01.608,1.58.314,0.84999999999999998,-28,4.5199999999999996,1585,,,"Race pace, had pace for P11 but tammate started 6 laps downdue to tech issues"
284,2022 S3,W010,2022-08-20,AMG 2020 GT3,VRS Sprint,Nurburgring - GP,10,13,,,1467,53,3,7,21,2.01.646,1.58.105,-0.16,8,4.3599999999999994,1593,Jean Yves Acusilas,,Race pace. Lap 2 T1 got taken out and waited for whole pack.
285,2022 S3,W011,2022-08-23,F3.5,,Phillip Island,8,3,,,2202,93,3,0,28,1.19.530,1.18.281,0.17000000000000001,67,4.5299999999999994,1660,,,"Race pace, Two aliens and three same pace crashed out."
286,2022 S3,W011,2022-08-26,F3.5,,Phillip Island,7,10,,,1835,19,3,0,6,1.21.373,1.19.156,5.0000000000000003e-02,-50,4.5799999999999992,1610,Lier Cohen,Didn't lodge,"Race pace, was P8 trying to overtake Lier Cohen who has slower.Then lost internet despite advance warning of outage."
287,2022 S3,W011,2022-08-27,F3.5,,Phillip Island,9,5,,,2590,94,3,0,28,1.18.852,1.17.869,0.17999999999999999,59,4.7599999999999989,1669,,,"High SOF, race pace, got lucky and faster guys crashed out."
288,2022 S3,W011,2022-08-27,F3.5,,Phillip Island,6,4,,,2678,70,3,0,28,1.18.826,1.17.822,0.19,35,4.9499999999999993,1704,,,"High SOF, race pace."
289,2022 S3,W012,2022-09-02,AMG 2020 GT3,VRS Sprint,Road Atlanta - Full,19,14,,,1692,42,3,2,30,1.22.833,1.19.380,4.0000000000000001e-02,-17,4.9899999999999993,1687,,,Race pace but didn't have the pace. One self spin lap 3. Otherwise would've finished P13.
290,2022 S3,W012,2022-09-03,AMG 2020 GT3,VRS Sprint,Road Atlanta - Full,25,20,,,1779,36,3,5,30,1.21.759,1.18.901,-0.13,-30,4.8599999999999994,1657,Bob Moss,Upheld,"Race pace, was 0 inc until last lap Bob Moss pushed me into wall. Lost two places."
291,2022 S3,W012,2022-09-03,AMG 2020 GT3,VRS Sprint,Road Atlanta - Full,,18,,,1767,35,3,6,31,1.21.492,1.18.564,-0.17999999999999999,-30,4.6799999999999997,1627,Tony Totorino,Didn't lodge,"Race pace, was 1inc P16 when second last lap Tony slowed down excessively in the last chicane making me lose control."
292,2022 S4,W01,2022-09-19,Ford GTE,ESS,Nurburgring - Combined,11,11,,,2213,29,4,18,7,11.01.674,,-0.56000000000000005,-29,4.1199999999999992,1598,,,"No pace, self spun L1 with repairs. Also later in race."
293,2022 S4,W02,2022-09-20,F3.5,,Watkins Glen - Classic Boot,5,11,,,1844,18,4,4,5,1.33.790,1.31.518,-0.12,-51,3.9999999999999991,1547,Haruki Suzuki,,"Had  good pace for P5, was P5 when P4 spun and didn't hold brakes. Terminal damage for both."
294,2022 S4,W02,2022-09-20,Skip Barber,,Laguna Seca,15,14,,,1688,28,4,3,14,1.47.904,1.41.570,-0.52000000000000002,-36,3.4799999999999991,1511,,,Poor pace but mostly clean race.
295,2022 S4,W02,2022-09-23,Ford GTE,ESS,Spa,16,11,,,2246,46,4,2,27,2.19.976,2.15.659,0.27000000000000002,-1,3.7499999999999991,1510,,,"Clean race, got little bit flustered when being aware of LMPs. Two off tracks due this. Not very fast."
296,2022 S4,W02,2022-09-23,F3.5,,Watkins Glen - Classic Boot,7,5,,,1840,58,4,0,25,1.30.886,1.30.208,0.20999999999999999,22,3.9599999999999991,1532,,,"Clean race, good pace tough competition."
297,2022 S4,W02,2022-09-24,Ford GTE,ESS,Spa,7,8,,,2153,35,4,9,27,2.18.012,2.14.603,-0.14999999999999999,-16,3.8099999999999992,1516,,,"Race pace, no major incidents."
298,2022 S4,W02,2022-09-24,F3.5,,Watkins Glen - Classic Boot,13,7,,,1772,57,4,6,24,1.36.288,1.30.988,-0.14000000000000001,17,3.669999999999999,1533,,,Race pace until self spun and hit the wall on lap 6. Had pace for P5 and 73pts but not this time.
